kamar_mandi;kamar_tidur;Bangunan;Lahan (m�);harga;lokasi;title;;;;
;1;60;;Rp 250.000.000;Setu Bekasi;rumah bekasi timur dekat akses toll jorr2;;;;
;2;36;;Rp 479.000.000;Cinunuk Cileunyi Cileunyi Bandung;Rumah Baru Dp Ringan 25jt all In s.d terima kunci cicilan 2.6jt/bln;;;;
;4;350;;Rp 50.000.000.000;Kebayoran Baru Jakarta Selatan;Rumah dijual Jl. Dharmawangsa Panglima Polim Prapanca kebayoran baru jakarta sel;;;;
;2;30;;Rp 360.000.000;Kemang Tonjong Bogor;Rumah Ready Stock Termurah;;;;
;4;150;;Rp 1.649.000.000;Cilandak Jakarta Selatan;Dijual rumah baru AKSES STRATEGIS DEKAT TOL DESARI;;;;
;3;89;;Rp 1.190.000.000;Jl. Rorotan VII Malaka III HB No.36 RT.12/RW.5 Rorotan Kec. Cilincing Kota Jkt Utara Daerah Khusus Ibukota Jakarta 14140 Rorotan Jakarta Utara;Nusa Kirana Rorotan Cakung 2 Lantai;;;;
;4;150;;Rp 3.200.000.000;Jl Perkici Bintaro sektor 5 Bintaro Tangerang Selatan;Dijual Rumah di Jl Perkici ;;;;
;2;50;;Rp 355.000.000;Sukoharjo Sukoharjo;Rumah Baru di lokasi cluster kecil;;;;
;3;40;;Rp 265.000.000;Lawang Malang;Rumah 2 Lantai 200jtan di Lawang Malang;;;;
;4;124;;Rp 1.200.000.000;Tangerang;DI JUAL RUMAH LAVON MURAH KONSEP DOUBLE DECKER;;;;
;3;50;;Rp 395.000.000;Kemuning Palembang;perumahan di tanjung barangan 5 juta All in;;;;
;4;103;;Rp 1.400.000.000;Pakal Surabaya;PROMO Dijual Rumah CitraLand Surabaya DP 0%;;;;
;10;6000;;Rp 15.000.000.000;Lembang Bandung;PETERNAKAN SAPI PERAH SEKALIGUS VILLA LEMBANG ( MILIK SENDIRI );;;;
;3;96;;Rp 1.810.000.000;Mijen Semarang;Kedaton BSBCity;;;;
;4;497;;Rp 20.000.000.000;Dago Bandung;JUAL cepat Rumah/Vila Mevvah di Dago FURNISH;;;;
;2;39;;Rp 538.000.000;Plaju Palembang;VILLA MALIBU PROMO MERDEKA;;;;
;2;150;;Rp 5.500.000.000;Gunung bawakaraeng no 162 makassar Makassar;Ruko strategis ditengah kota;;;;
;3;80;;Rp 650.000.000;Ngaglik Sleman;Dijual Rumah Full Furniture Losari; Grand Island; Pakuwon City Surabaya;;
;2;56;;Rp 550.000.000;Pakem Sleman;Rumah Murah 2 lantai di Sleman;;;;
;3;75;;Rp 1.250.000.000;Jambangan Surabaya;Rumah mewah 2 lantai perumahan Kebonsari Elveka;;;;
;8;578;;Rp 9.000.000.000;Jemursari Selatan Surabaya;Dijual rumah HOOK JEMURSARI SELATAN;;;;
;3;122;;Rp 3.313.000.000;Bintaro Tangerang Selatan;Mazenta Bintaro Residence;;;;
;3;100;;Rp 1.250.000.000;Maguwoharjo Sleman;rumah siap huni modern tropis siap huni sleman yogyakarta;;;;
;5;252;;Rp 1.900.000.000;Perumahan Azalea Makassar 90233 Indonesia Panakkukang Makassar;DIJUAL RUMAH CANTIK 2 LANTAI AREA PANAKKUKANG LOKASI KOMPLEKS AZALEA;;;;
;3;130;;Rp 1.650.000.000;Jatimakmur Bekasi;Dijual Rumah Dibellavista Townhouse;;;;
;6;168;;Rp 1.200.000.000;Tangerang;Rumah Siap Huni Alam Sutera Pepabri Raya Kunciran Bisa Nego;;;;
;2;50;;Rp 375.000.000;Sukoharjo;Rumah Baru Siap Huni di Dekat Pemda Sukoharjo Kota;;;;
;5;170;;Rp 900.000.000;Grogol Sukoharjo;Dijual Cepat Rumah lokasi strategis di Telukan Solo Baru;;;;
;3;121;;Rp 1.400.000.000;Jakarta Barat;Dijual cepat rumah Cendrawasih Residence;;;;
;2;64;;Rp 300.000.000;Medan Kota Medan;Dijual Rumah Daerah Mandala;;;;
;5;300;;Rp 7.500.000.000;Sindanglaya Bandung;FORSALE VILLA DI SINDANGLAYA BANDUNG;;;;
;2;42;;Rp 386.000.000;Sukun Malang;Rumah Siap Huni di Perum Sawama Sukun Bakalankrajan Kota Malang;;;;
;4;105;;Rp 1.150.000.000;Jalan Raya Setu Cipayung Jakarta Timur 13890 Indonesia Jatinegara Jakarta Timur;Rumah Baru 2 Lantai dalam Komplek Perumahan Dekat Toll Setu Cipayung;;;;
;2;38;;Rp 250.000.000;Bojong Gede Bogor;rumah murah citayam; Luas Tanah 1120 Meter; Jagakarsa; Jakarta Selatan;
;2;52;;Rp 725.000.000;Purwo martani Sleman;rumah bagus murah jogja;;;;
;2;500;;Rp 17.000.000.000;Rawamangun Jakarta Timur;JUAL CEPAT RUMAH HITUNG TANAH DI RAWAMANGUN;;;;
;4;280;;Rp 2.750.000.000;Semarang;Rumah baru mewah Wologito Raya Manyaran Semarang Barat;;;;
;1;136;;Rp 700.000.000;Medan Petisah Medan;Rumah Murah Jl. Punak Medan;;;;
;2;36;;Rp 580.000.000;Serpong Tangerang Selatan;Rumah Murah serpong;;;;
;5;240;;Rp 1.900.000.000;Jalan Pondok Mutiara Raya II Cimahi 40513 Indonesia Cibabat Cimahi;DIJUAL RUMAH PONDOK MUTIARA DEKAT PEMKOT CIMAHI UTARA;;;;
;2;32;;Rp 518.000.000;Pahlawan Medan;Komplek Tuamang Garden;;;;
;4;135;;Rp 890.000.000;Buahbatu (Margacinta) Bandung;Rumah Margahayu Raya Furnished;;;;
;3;125;;Rp 450.000.000;Jalan Banten Lama Tanjung Jati Binjai Langkat;Dijual 2 Rumah Siap Huni Dalam Kondisi Baik Beserta Tanah 638m�;;;;
;3;88;;Rp 630.000.000;Ngemplak Sleman;DIJUAL RUMAH BARU UTARA JOGYA BAY YOGYAKARTA (BISA KPR);;;;
;2;36;;Rp 250.000.000;Cikarang Bekasi;Di Jual Cepat (Harga Nego);;;;
;2;36;;Rp 135.000.000;Margahayu Bandung;Cluster Pilar Tanjungsari Soreang Bandung KPR Syariah;;;;
;3;90;;Rp 730.000.000;Cibaduyut Bandung;rumah mewah grand pkj;;;;
;2;50;;Rp 605.000.000;Gunung Anyar Surabaya;Rumah mewah perumahan Rungkut nol jalan raya;;;;
;2;40;;Rp 450.000.000;Prambanan Sleman;rumah murah dekat candi prambanan;;;;
;4;300;;Rp 1.500.000.000;Jenangan Ponorogo;RUMAH TIMUR SEWELUT JENANGAN PONOROGO 2 LANTAI;Free Semua Biaya Cluster Virginia Pine;;;
;45;600;;Rp 14.000.000.000;Bendungan Hilir Jakarta Pusat;DIJUAL KOS2AN Di Bendungan Hilir;;;;
;16;700;;Rp 18.000.000.000;Perumahan Graha Taman Bunga Semarang Kota 50211 Indonesia Semarang Barat Semarang;Dijual Rumah Istimewa Graha Taman Bunga BSB Ngaliyan Kota Semarang;;;;
;2;120;;Rp 915.000.000;Pondok Aren Tangerang;Rumah 75 M2 pondok aren bintaro;;;;
;3;168;;Rp 950.000.000;Pamulang Tangerang Selatan;Bismillah;;;;
;2;30;;Rp 185.000.000;Gondanglegi Malang;Perumahan Bumi Santri Gondanglegi Malang Promo Harga 185jt;;;;
;5;400;;Rp 6.000.000.000;Rancamaya Bogor;Rancamaya Golf Estate Bunga Raya;;;;
;2;45;;Rp 495.000.000;Karang Ploso Malang;RUMAH BARU ONE GATE MALYA RESIDENCE KARANGPLOSO MALANG BATU;;;;
;5;135;;Rp 1.780.000.000;Jl. Pangeran cakrabuana talun cirebon4 Talun (Cirebon Selatan) Cirebon;Perumahan The GARDENS;;;;
;2;36;;Rp 330.000.000;Citayam Depok;DIJUAL RUMAH MINIMALIS DI DEPOK ( ALL IN DP 5 JT CICILAN MULAI 2 JTAN);;;;
;4;350;;Rp 1.650.000.000;Mataram;dijual rumah mataram;;;;
;5;302;;Rp 7.250.000.000;Kalibata Jakarta Selatan;Dijual Rumah 2 Lantai Di Perumahan kalibata indahJakarta Selatan;;;;
;4;108;;Rp 4.000.000.000;Tanjung Priok Jakarta Utara;RUMAH DIJUAL MURAH DI PRIOK JAKARTA UTARA HARGA NEGO SAMPAI JADI.;;;;
;3;85;;Rp 1.001.500.000;Oro-oro Ombo Batu;unit on progres vila dekat wisata BNS;;;;
;3;147;;Rp 1.100.000.000;Pamulang Timur Tangerang Selatan;Rumah Batu Asri & Bebas Banjir;;;;
;2;36;;Rp 135.000.000;Katapang Bandung;Cluster Termurah di Bandung bisa kpr syariah;;;;
;4;70;;Rp 300.000.000;Soreang Bandung;Jual rumah di soreang harga 400jt an fullspek (Bisa KPR Syariah);;;;
;3;200;;Rp 2.400.000.000;Ciganjur Jakarta Selatan;Dijual Rumah Cluster Jagakarsa Jakarta Selatan; Sukolilo; Surabaya;;
;2;26;;Rp 168.000.000;Cikupa Tangerang;Rumah subsidi terbaik dan bagus di tangerang;;;;
;1;25;;Rp 315.000.000;Sekaran Semarang;Rumah Super Mewah berlokasi strategis di Kalisegoro Gunungpati Smg;;;;
;3;80;;Rp 1.818.980.000;Jagakarsa Jakarta Selatan;RUMAH DESIGN MODERN JAGAKARSA JAKARTA SELATAN;;;;
;2;27;;Rp 178.000.000;Balaraja Tangerang;Rumah subsidi tangerang;;;;
;5;300;;Rp 2.500.000.000;Sukabumi Sukabumi;Dijual Rumah 2;;;;
;5;300;;Rp 4.950.000.000;Jagakarsa Jakarta Selatan;DIJUAL TOWNHOUSE MEWAH LOKASI STRATEGIS DI JAGAKARSA JAKARTA SELATAN;;;;
;3;103;;Rp 915.000.000;Cibubur Jakarta Timur;DP 150 JUTA ALL IN CIRACAS JAKARTA TIMUR;;;;
;2;40;;Rp 200.000.000;Sedayu Bantul;RUMAH 200JT-FREE BIAYA di ARGODADI JOGJA Barat- Type40-2KT.;;;;
;3;120;;Rp 1.600.000.000;Samarinda Utara Samarinda;Rumah cantik d cluster depan; CITRALAND ; Surabaya;;
;6;280;;Rp 2.600.000.000;Pejaten Timur Jakarta Selatan;Dijual BU Rumah 2 Lantai Poltangan Pasar Minggu;;;;
;2;45;;Rp 370.000.000;Banjarbaru Utara Banjarbaru;Rumah type 45 strategis;;;;
;4;280;;Rp 3.150.000.000;Jl Wologito Manyaran Semarang;Rumah Mewah HM 2 lantai kondisi Baru;;;;
;3;71;;Rp 1.100.000.000;Jl. Madrasah RT 001/008 Kelurahan Pondok Benda Kecamatan Pamulang Kota Tangerang Selatan Banten 15416 Pamulang Tangerang Selatan;dijual rumah Green Pamulang Estate;;;;
;5;400;;Rp 1.300.000.000;Ilir Barat I Palembang;Jual 2 Rumah dalam 1 Pagar;;;;
;3;500;;Rp 28.000.000.000;Nusa Dua Badung;DIJUAL VILLA DI BALI PREMIUM LUXURY VILLA ON THE BEACH (FOR SALE);;;;
;7;233;;Rp 4.500.000.000;Bandung;RUMAH MEWAH HARGA RAMAH di DAGO BANDUNG;;;;
;5;383;;Rp 10.250.000.000;Kebayoran Baru Jakarta Selatan;RUMAH CANTIK SIAP HUNI DI KEBAYORAN BARU;;;;
;4;98;;Rp 1.300.000.000;Cibubur Jakarta Timur;rumah townhouse cibubur;;;;
;3;180;;Rp 1.300.000.000;Kartasura Sukoharjo;Rumah Cluster Fully Furnished 2 Lantai Siap Huni Dekat UMS;;;;
;3;40;;Rp 477.600.000;Tambun Utara Bekasi;Panorama Bekasi residence;;;;
;2;40;;Rp 255.000.000;Wonosari Gunung Kidul;RUMAH MURAH WONOSARI;;;;
;5;340;;Rp 4.300.000.000;Cinere Depok;dijual rumah baru di PURI Cinere 5menit MRT lebak bulus;;;;
;2;45;;Rp 485.000.000;Jalan Cagar Alam Depok 16436 Indonesia Beji Depok;Rumah cluster modern. Di jl.cagar alam depok;;;;
;4;350;;Rp 2.800.000.000;Laweyan Solo;rumah solo manahan gremet dekat slamet Riyadi paragon solo Square;;;;
;3;90;;Rp 1.200.000.000;Pamulang Tangerang Selatan;Hanya 5 juta dapatkan Rumah Skandinavia Bonus Furnish Free Biaya2;;;;
;2;38;;Rp 540.000.000;Biringkanaya Makassar;Rumah Tengah kota Makassar (Telkommas);;;;
;3;34;;Rp 450.000.000;Summarecon Bekasi Bekasi;RUMAH MURAH TIMUR SUMMARECON BEKASI BEBAS BANJIR;;;;
;6;600;;Rp 5.500.000.000;Astana Anyar Bandung;DIJUAL/DISEWA RUKO&RUMAH;;;;
;3;52;;Rp 835.900.000;Cipinang Jakarta Timur;di Jual Rumah Murah Mewah Taman Cipinang Promo;;;;
;2;40;;Rp 391.000.000;Solo Baru Solo;rumah murah di kawasan berkembang di solo baru; BSD City;;;
;2;55;;Rp 350.000.000;Grogol Sukoharjo;Rumah Minimalis Murah Siap Huni Dekat Solo Baru Sukoharjo;5 lantai bangunan pilar;;;
;4;220;;Rp 3.500.000.000;Bintaro Tangerang Selatan;Rumah Bagus Murah Siap Huni Sektor9 Bintaro Tangerang Selatan;;;;
;4;140;;Rp 1.625.000.000;Jagakarsa Jakarta Selatan;Rumah Classic 3 Lantai Harga Ekonomis Lokasi Strategis di Jagakarsa;;;;
;2;45;;Rp 485.000.000;Junrejo Batu;RUMAH VILLA MINIMALIS MEWAH BATU;;;;
;6;200;;Rp 3.200.000.000;Kalibata Jakarta Selatan;Dijual rumah murah harga di bawah NJOP di Kalibata Jakarta Selatan;Lt 144m�;;;
;3;100;;Rp 1.350.000.000;Tambun Selatan Bekasi;Dijual Cepat Rumah di Grand wisata Tambun;;;;
;2;36;;Rp 535.000.000;Pasar Kemis Tangerang;Rumah Murah di Tangerang;;;;
;4;230;;Rp 5.200.000.000;Mayjen Sungkono Surabaya;Rumah FULL FURNISH di Graha Family;;;;
;2;40;;Rp 350.000.000;Pacet Mojokerto;Rumah baru murah;;;;
;2;36;;Rp 165.000.000;rancamulya lestari no 02b Rancamanyar Bandung;rumah siap huni full sfek rancamanyar;;;;
;3;100;;Rp 630.000.000;Singaparna Tasikmalaya;Jual Rumah Murah;;;;
;2;50;;Rp 575.000.000;Pamulang Tangerang Selatan;Dijual Rumah Cluster Siap Huni Disekitaran Pamulang Tangsel; Iroko Gunung Putri;;;
;4;240;;Rp 3.200.000.000;Sidokumpul Sidoarjo;Dijual Jual Citra Garden Orchard 2 lantai dekat tol;;;;
;2;40;;Rp 610.000.000;Sukmajaya Depok;Modern Ready Stock di Sukmajaya Depok;;;;
;3;74;;Rp 1.200.000.000;Jalan Raya Pondok Cabe Tangerang Selatan Indonesia Pondok Cabe Tangerang Selatan;Rumah murah dekat jakarta selatan;;;;
;2;40;;Rp 355.000.000;Kedungkandang Malang;RUMAH MINIMALIS MURAH KOTA MALANG;;;;
;3;90;;Rp 1.325.000.000;Cinangka Depok;Hunian 2 Lantai DiPondok Cabe;;;;
;2;57;;Rp 800.000.000;Pisangan Baru Jakarta Timur;Dijual Rumah Cantik di Pisangan Baru Jakarta Timur dengan Carport;;;;
;3;95;;Rp 1.351.500.000;Pisangan Baru Jakarta Timur;Di Jual Rumah Mewah minimalis Matraman dengan garasi; Full Furnished;;;
;3;111;;Rp 1.500.000.000;Pondok Kacang Timur Tangerang;Rumah 2 Lantai Siap Huni Area Bintaro Promo Free seluruh biaya2; Aman di Bandung Timur;;;
;2;58;;Rp 796.620.000;Pisangan Baru Jakarta Timur;Dijual rumah Baru di Pisangan Baru Jakarta timur promo;;;;
;5;300;;Rp 2.350.000.000;Bintaro Tangerang Selatan;DIJUAL HOT SALES Rumah sudut di Pisok SEKTOR 5 bintaro jaya .;;;;
;2;45;;Rp 550.000.000;Lowokwaru Malang;RUMAH SIAP HUNI 0 JALAN DEKAT KAMPUS;Utara;5BR+1;Pool;
;3;111;;Rp 1.470.000.000;Pamulang Tangerang Selatan;Rumah Baru Siap Huni Di Pondok Benda Pamulang Dekat Serpong;;;;
;2;55;;Rp 718.000.000;Karawang Barat Karawang;CENDANA SPARK LIPPO CIKARANG TANPA DP FREE CICILAN KPR PERTAMA; Kamar 9 Selangkah ke MERR Rungkut;;;
;2;30;;Rp 300.000.000;Driyorejo Gresik;PROMO FEBRUARI UTJ 2JT FREE ALL BIAYA-BIAYA;;;;
;5;150;;Rp 1.500.000.000;Daya Makassar;Hunian Mewah Berada Di Pusat Kota Makassar Harga Mulai 500Jt-an;;;;
;2;58;;Rp 649.000.000;Sepatan Tangerang;JUAL RUMAH GRAND CITY THE EXTENSION SEPATAN TANGERANG (MASIH BS NEGO);;;;
;5;185;;Rp 4.006.250.000;Rancasari Bandung;Rumah Mewah di perumahan Luxury Bandung;;;;
;3;48;;Rp 800.000.000;Lippo Cikarang Bekasi;Dijual Rumah Bebas Banjir;Nyaman & Strategis;;;
;3;75;;Rp 1.280.000.000;Jl. Raya Puspitek Serpong Tangerang Selatan Serpong Tangerang Selatan;Dijual Rumah Cantik Minimalis 2 Lantai di Serpong Jaya;;;;
;2;36;;Rp 614.400.000;Tembalang Semarang;jual rumah tipe 36; Harga Investasi; Gading Serpong Tanggerang;;
;2;105;;Rp 1.300.000.000;Cipondoh Tangerang;Rumah Siap Huni di Modernland Cluster Taman Bunga;;;;
;2;42;;Rp 471.000.000;Jalan Mengkudu Jakarta Utara 14210 Indonesia Jakarta Utara;Smartownhouse koja rumah 2 lantai miniamlis ditengah kota jakarta; Siap Huni; Strategis;;
;3;64;;Rp 2.600.000.000;Jelambar Jakarta Barat;RUMAH 4 LANTAI UK 4X16M Hadap Selatan JELAMBAR JUAL CEPAT BU;;;;
;6;400;;Rp 3.500.000.000;Ngagel Surabaya;Jual Murah Rumah Minimalis - Surabaya;;;;
;2;29;;Rp 380.000.000;Bekasi Timur Regency 3 & Bekasi Timur Regensi 4 & Cluster Chrysocolla Bekasi Kota 17166 Indonesia Bekasi Timur Bekasi;Rumah Over Kredit 160 Juta Full Renovasi dan Siap Huni BTR;7 juta;;;
;8;400;;Rp 7.700.000.000;Tangerang;Rumah Mewah Siap Huni Cluster Harmoni Bisa Nego; JAGAKARSA; JAKSEL.;;
;2;42;;Rp 573.000.000;Sawangan Depok;Cluster 2 lantai 500 jtan di perbatasan Sawangan - Pamulang Tangsel;;;;
;2;38;;Rp 215.000.000;Depok Depok;Nuansa Pala bali;;;;
;3;200;;Rp 1.800.000.000;Sewon Bantul;DIJUAL RUMAH KOKOH DI TIMUR TEMBI JALAN PARANGTRITIS KM 8;;;;
;6;120;;Rp 1.800.000.000;Sayap Taman Kopo Indah Margaasih Bandung;Dijual Rumah Nyaman Terawat di Sayap Taman Kopo Indah Cicukang;;;;
;5;270;;Rp 6.700.000.000;Sunter Jakarta Utara;DIjual Rumah Brand New Desdain Bagus Sunter Agung;;;;
;2;45;;Rp 500.000.000;Jalan Kartini & Jalan St Depok Lama Depok 16431 Indonesia Depok;Cluster griya hana residence 3 menit ke stasiun depok;;;;
;2;150;;Rp 950.000.000;Medan Tembung Medan;Rumah Daerah Pancing Murahh;;;;
;3;66;;Rp 1.475.000.000;Ciputat Tangerang Selatan;Grand Bintaro Asri;;;;
;4;78;;Rp 1.014.860.000;Cipinang Muara Jakarta Timur;Dijual Rumah Mewah diCipinang Muara lebar 4.5 Meter;;;;
;4;428;;Rp 14.000.000.000;Jakarta Selatan;Wow jarang ada Dijual penthouse Kemang Village Twr Bloomington uk 428m2(4BR+1);;;;
;3;100;;Rp 1.300.000.000;Bekasi Selatan Bekasi;Rumah second lokasi strategis bebas banjir taman Galaxi;2 lantai; Surabaya;;
;2;43;;Rp 295.000.000;Lawang Malang;RUMAH 2 LANTAI LAWANG DEKET OTSUKA;;;;
;3;40;;Rp 477.700.000;Bekasi Utara Bekasi;RUMAH DI BEKASI HANYA 1JUTA ALL IN;;;;
;3;68;;Rp 988.000.000;Lippo Cikarang Bekasi;RUMAH MURAH MEWAH UPTOWN ESTATES LIPPO CIKARANG;;;;
;3;100;;Rp 1.880.000.000;Kramat Jati Jakarta Timur;Rumah TownHouse Kramat Jati berkonsep Modern Tropis;;;;
;3;150;;Rp 3.900.000.000;Cilandak Jakarta Selatan;jual cepat banget rumah disiap huni di cilandak jakarta selatan;;;;
;2;48;;Rp 375.000.000;Citayam Depok;rumah murah tanpa DP cicilan mulai 2;;;;
;5;200;;Rp 2.500.000.000;Salatiga Salatiga;Rumah Istimewa di Kota Salatiga Jawa Tengah; amerika; dekat danau; rapi bagus siap huni;
;3;69;;Rp 490.000.000;Summarecon Bekasi Bekasi;Rumah Villa Utara Summarecon Mall Bekasi Bebas Banjir;;;;
;3;64;;Rp 800.000.000;Pondok Cabe Tangerang Selatan;Di Jual Cepat Rumah di Cinangka Pondok Cabe;;;;
;3;59;;Rp 695.300.000;Cipinang Muara Jakarta Timur;Dijual Rumah Murah Minimalis Cipinang Muara harga promo;;;;
;3;70;;Rp 1.400.000.000;Kartasura Sukoharjo;Rumah Minimalis Cluster Murah di Kartasura Solo;;;;
;5;180;;Rp 4.700.000.000;Kalibata Jakarta Selatan;Rumah hook 3 Lantai kalibata;;;;
;4;390;;Rp 3.700.000.000;Panakkukang Makassar;Rumah Kompleks elit Bougenville;7 juta;;;
;2;42;;Rp 555.000.000;jalan warakas jakarta utara Tanjung Priok Jakarta Utara;Rumah minimalis 2 lantai lokasi dekat stadion jis dan suntermall jakarta utara;;;;
;2;50;;Rp 589.000.000;Sampangan Semarang;GRIYA MUTIARA SAMPANGAN;;;;
;2;55;;Rp 718.000.000;Summarecon Bekasi Bekasi;CENDANA SPARK LIPPO CIKARANG TANPA DP FREE BIAYA KPR;;;;
;3;120;;Rp 5.750.000.000;Kebayoran Lama Jakarta Selatan;Dijual Cepat Rumah Murah di Jakarta Selatan;;;;
;3;136;;Rp 2.300.000.000;Bojongsari Depok;Rumah yang ada rooftop memang keren;;;;
;4;100;;Rp 1.599.000.000;Golden Park 2 Cisauk Tangerang;DIJUAL RUMAH CASH/KPR DEKAT BSD SERPONG (BU-NEGO SAMPAI DEAL);;;;
;2;38;;Rp 542.000.000;Cikarang Utara Bekasi;Rumah mewah bergaya kontemporer 5jt sudah pilih unit rumah;;;;
;2;100;;Rp 800.000.000;Kenjeran Surabaya;Rumah sangat murah;;;;
;4;250;;Rp 3.500.000.000;Bintara Jaya Bekasi;Dijual Rumah di Bintara Jaya Bebas Banjir (dkt Exil Toll;;;;
;5;700;;Rp 34.000.000.000;Pejaten Jakarta Selatan;JUAL RUMAH PEJATEN;;;;
;4;180;;Rp 1.650.000.000;Cipadu Tangerang;Rumah 2 Lantai Strategis Siap Huni di Cipadu;;;;
;2;50;;Rp 350.000.000;Minggir Sleman;Rumah Minimalis Modern Slemam Barat Dekat Kecamatan Minggir; Bukit Raya;;;
;2;40;;Rp 525.500.000;kembangan sumberrahayu moyudan - sleman Moyudan Sleman;Rumah modern sleman dekat Studio Alam Gamplong;;;;
;5;250;;Rp 2.000.000.000;Jalan Ikan Nus Malang Kota 65142 Indonesia Blimbing Malang;Rumah Cantik 2 Lantai dekat Sekolah Hwa Ind;;;;
;6;500;;Rp 13.000.000.000;Tebet Timur Jakarta Selatan;Rumah Classic 2018 Tebet Timur Raya;;;;
;4;250;;Rp 11.000.000.000;Gubeng Surabaya;Rumah di jalan Nias;;;;
;2;70;;Rp 1.150.000.000;Buduran Sidoarjo;Citra Garden greenhill Sidoarjo;;;;
;5;186;;Rp 1.500.000.000;Mustika Jaya Bekasi;Rumah Murah 2 Lantai di Kawasan Premium Dukuh Zamrud Bekasi Kota;;;;
;3;440;;Rp 6.490.000.000;Jakarta Pusat;Dijual Rumah 10x30 di Kartini;;;;
;3;85;;Rp 785.000.000;Buahbatu (Margacinta) Bandung;Rumah Murah Cantik Dekat Borma Margacinta Ciwastra Buah Batu;;;;
;3;100;;Rp 925.000.000;Pondok Melati Bekasi;Rumah kuldesak di Puri Gading;;;;
;3;58;;Rp 600.000.000;Summarecon Bekasi Bekasi;Villa Murah Utara Summarecon Mall Bekasi Bebas Banjir;;;;
;5;300;;Rp 4.500.000.000;sidosermo indah no 21 Wonocolo Surabaya;Rumah DiJual Surabaya Pusat Kota;;;;
;4;110;;Rp 1.500.000.000;Cilandak Jakarta Selatan;Rumah murah dijual Cluster Pondok Labu dekat tol simatupang furnish;;;;
;3;60;;Rp 1.302.000.000;Perumahan Serpong Garden Tangerang Kabupaten 15844 Indonesia Cisauk Tangerang;Rumah 10 Juta All in; Binong Karawaci tangerang;;;
;5;490;;Rp 25.250.000.000;cluster kintamani kelapa gading jakarta utara Kelapa Gading Jakarta Utara;Rumah di BGV Bukit Gading Villa luas 505m2 Type 5KT;;;;
;3;400;;Rp 3.200.000.000;Jalan Beringin Medan 20128 Indonesia Medan Sunggal Medan;Rumah luas cantik pinggir jalan beringin ringroad;;;;
;2;45;;Rp 500.000.000;Karang Ploso Malang;RUMAH MEWAH MODERN VIEW PEGUNUNGAN;;;;
;2;33;;Rp 475.000.000;jalan warakas jkarta utara Tanjung Priok Jakarta Utara;Rumah 2 lntai lokasi strategis dekat suntrmall dan stadion jis jakarta utara;;;;
;2;263;;Rp 850.000.000;Sukaseuri Cikampek Karawang;Dijual Rumah 2 Lantai di CIkampek;;;;
;2;85;;Rp 1.185.750.000;Pisangan Baru Jakarta Timur;Di jual Rumah Mewah Minimalis Pisangan Baru Matraman;;;;
;2;45;;Rp 1.100.000.000;Antapani Bandung;Jual Cepat Rumah Murah Minimalis Komplek Ekslusif Antapani;;;;
;4;105;;Rp 1.300.000.000;Jalan Semarang Indah Semarang Kota 50144 Indonesia Tawang Mas Semarang;Rumah 2 Lantai Murah Tengah Kota Semarang Indah Dekat Bandara dan Mall;;;;
;2;38;;Rp 499.000.000;Citeureup Bogor;Rumah smartHome Dikelilingi Pegunungan;;;;
;3;69;;Rp 460.000.000;Summarecon Bekasi Bekasi;Rumah Villa Timur Stasiun Bekasi Siap Huni; RUMAH MURAH BSD - SERPONG - TANGSEL DEKAT TOL BSD;;;
;2;58;;Rp 1.061.312.000;cempaka Putin tengah Cempaka Putih Jakarta Pusat;Dijual Rumah di Cempaka Putih SHM Bebas Banjir 5 Menit ke Gran Pramuka;;;;
;2;32;;Rp 300.000.000;Rajeg Tangerang;Dijual rumah cluster green ville rajeg terrace dp murah;;;;
;2;40;;Rp 610.000.000;Sukmajaya Depok;Cluster strategis cash/kpr 600 jtaan di Sukmajaya Depok;;;;
;3;100;;Rp 955.000.000;Medan;Sisa 1 unit rumah mewah tengah kota deket simpang pemda setia budi;;;;
;3;60;;Rp 650.000.000;Bedelan cebongan Mlati sleman yogyakarta Mlati Sleman;Rumah minimalis di barat pasar cebongan sleman;;;;
;3;80;;Rp 1.400.000.000;Cijantung Jakarta Timur;Rumah Mewah Murah Dicijantung Pasar Rebo Jaktim;;;;
;2;80;;Rp 750.000.000;Bojong Nangka Tangerang;rumah dijual tanah luas cepat dasana indah;;;;
;3;71;;Rp 849.000.000;Bogor Barat - Kota Bogor;RUMAH MODERN LOKASI STRATEGIS BOGOR BARAT;;;;
;2;65;;Rp 850.000.000;Antang Makassar;Dijual rumah 2 lantai; Tangsel.;;;
;4;210;;Rp 1.650.000.000;Mapanget Manado;Rumah permanen 2 lt. Dekat lippo plaza jln kaki 150 meter;;;;
;2;32;;Rp 520.000.000;Waru Sidoarjo;Rumah Murah KPR Alana Tambak Oso Tahap Dua;;;;
;20;500;;Rp 7.000.000.000;Depok Sleman;Rumah Induk+20kt kost Exclusive Seturan dkt UPN;;;;
;5;90;;Rp 750.000.000;Rungkut Surabaya;Jual rumah di rungkut raya merr;;;;
;4;380;;Rp 3.700.000.000;Panakkukang Makassar;Jual Rumah Bougenville;;;;
;4;140;;Rp 1.425.000.000;Bogor Selatan - Kota Bogor;Pasif income 35 jt/th Arga Nirwana BNR Bogor;;;;
;2;70;;Rp 775.000.000;Arcamanik Bandung;Rumah Siap huni area Cisaranten;;;;
;10;1259;;Rp 20.000.000.000;Kopo Bandung;DIJUAL RUMAH DAN KONTRAKAN Nego sejadinya.;;;;
