channel name;channel url;subsscribers;language
@kajisacnoge-mubeya;https://www.youtube.com/@kajisacnoge-mubeya;119K ;japanese
@user-tg9vx1ev4z;https://www.youtube.com/@user-tg9vx1ev4z;118K ;japanese
@switchsuposhi;https://www.youtube.com/@switchsuposhi;114K ;japanese
@user-ln1fz7ti4i;https://www.youtube.com/@user-ln1fz7ti4i;114K ;japanese
@ptehashi;https://www.youtube.com/@ptehashi;113K ;japanese
@akisi-game;https://www.youtube.com/@akisi-game;111K ;japanese
@kakashimon823;https://www.youtube.com/@kakashimon823;11,9K ;japanese
@HENTAI.777;https://www.youtube.com/@HENTAI.777;11,7K ;japanese
@gdlab1621;https://www.youtube.com/@gdlab1621;11,7K ;japanese
@studio_shimazu;https://www.youtube.com/@studio_shimazu;11,7K ;japanese
@moco_chan;https://www.youtube.com/@moco_chan;11,6K ;japanese
@zakigamebox;https://www.youtube.com/@zakigamebox;11,5K ;japanese
@marugameCH;https://www.youtube.com/@marugameCH;11,3K ;japanese
@dgmjp;https://www.youtube.com/@dgmjp;11,2K ;japanese
@savasava;https://www.youtube.com/@savasava;11,2K ;japanese
@tantogamech;https://www.youtube.com/@tantogamech;10K ;japanese
@fujinattu;https://www.youtube.com/@fujinattu;107K ;japanese
@sakuramochi722;https://www.youtube.com/@sakuramochi722;105K ;japanese
@kamiyamalightgame;https://www.youtube.com/@kamiyamalightgame;105K ;japanese
@MIKADO4649;https://www.youtube.com/@MIKADO4649;103K ;japanese
@odesigame;https://www.youtube.com/@odesigame;103K ;japanese
@minamisansan;https://www.youtube.com/@minamisansan;10,8K ;japanese
@kazumaxanime;https://www.youtube.com/@kazumaxanime;10,6K ;japanese
@user-sk4zv2lb9k;https://www.youtube.com/@user-sk4zv2lb9k;10,5K ;japanese
@utsumin_gamechannel;https://www.youtube.com/@utsumin_gamechannel;10,4K ;japanese
@itumogame;https://www.youtube.com/@itumogame;10,2K ;japanese
@user-nu8yd7mq7v;https://www.youtube.com/@user-nu8yd7mq7v;10,1K ;japanese
@Gatchman666;https://www.youtube.com/@Gatchman666;1,86M ;japanese
@eikogo3822;https://www.youtube.com/@eikogo3822;1,84M ;japanese
@ShiroganeNoel;https://www.youtube.com/@ShiroganeNoel;1,74M ;japanese
@SAWAYANGAMES;https://www.youtube.com/@SAWAYANGAMES;1,71M ;japanese
@kazukura;https://www.youtube.com/@kazukura;1,6M ;japanese
@uszw;https://www.youtube.com/@uszw;1,57M ;japanese
@GMTK;https://www.youtube.com/@GMTK;1,51M ;japanese
@AIGamesdayo;https://www.youtube.com/@AIGamesdayo;1,42M ;japanese
@HOKAGO_GAMING_LIFE;https://www.youtube.com/@HOKAGO_GAMING_LIFE;1,38M ;japanese
@ksonONAIR;https://www.youtube.com/@ksonONAIR;1,26M ;japanese
